system   D            wsystem.c:583  maybe_parent_dir                 [   0.01380] Also searching E:\Carpeta de clase MASTER\Apuntes\projects\campos\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.02346] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.02348] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.03887] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.08938] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.08942] Allegro version: 5.0.10
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.09021] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.09022] al_display=0051FD98
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.09023] al_display->vt=0051F010
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.09184] found 64 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.09187] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09188] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09189] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09190] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09191] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09192] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09193] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09194] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09195] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09196] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09197] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09198] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09199] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
